City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,auki,SB,84.96,moderate rain,-8.7676,160.7034,
4,korla,CN,81.21,clear sky,41.7597,86.1469,
5,padang,ID,82.45,broken clouds,-0.9492,100.3543,
6,sao joao da barra,BR,67.37,broken clouds,-21.6403,-41.0511,
7,poum,NC,78.19,overcast clouds,-20.2333,164.0167,
8,praia da vitoria,PT,66.45,few clouds,38.7333,-27.0667,
11,vaini,TO,77.16,scattered clouds,-21.2,-175.2,
12,san francisco,US,70.11,scattered clouds,37.7749,-122.4194,
13,saint-denis,FR,60.96,light rain,48.9167,2.3333,
18,bengkulu,ID,82.11,broken clouds,-3.8004,102.2655,
19,ribeira grande,PT,65.37,broken clouds,38.5167,-28.7,
20,soyo,AO,71.94,broken clouds,-6.1349,12.3689,
21,anan,JP,69.58,broken clouds,33.9167,134.65,
22,puerto ayora,EC,68.56,broken clouds,-0.7393,-90.3518,
23,geraldton,AU,72.01,few clouds,-28.7667,114.6,
24,avarua,CK,78.85,scattered clouds,-21.2078,-159.775,
26,east london,ZA,61.74,clear sky,-33.0153,27.9116,
28,arraial do cabo,BR,70.43,scattered clouds,-22.9661,-42.0278,
29,batticaloa,LK,83.59,overcast clouds,7.7102,81.6924,
31,luanda,AO,68.58,clear sky,-8.8368,13.2343,
33,kahului,US,84.22,scattered clouds,20.8947,-156.47,
34,carnarvon,AU,68.4,light rain,-24.8667,113.6333,
35,busselton,AU,62.51,overcast clouds,-33.65,115.3333,
37,honiara,SB,85.87,moderate rain,-9.4333,159.95,
38,mitzic,GA,67.95,light rain,0.7821,11.549,
39,tomigusuku,JP,77.14,broken clouds,26.185,127.675,
41,namatanai,PG,83.62,light rain,-3.6667,152.4333,
42,araria,IN,86.7,light rain,26.15,87.5167,
43,rikitea,PF,73.65,scattered clouds,-23.1203,-134.9692,
44,darnah,LY,71.62,clear sky,32.767,22.6367,
45,port elizabeth,ZA,60.31,clear sky,-33.918,25.5701,
46,slave lake,CA,62.58,overcast clouds,55.2834,-114.769,
47,pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,
50,kapaa,US,80.58,few clouds,22.0752,-159.319,
54,san quintin,MX,62.29,few clouds,30.4833,-115.95,
57,hilo,US,89.28,overcast clouds,19.7297,-155.09,
58,mwandiga,TZ,67.46,light rain,-4.83,29.6581,
59,taoudenni,ML,91.24,clear sky,22.6783,-3.9836,
60,ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,
61,atuona,PF,78.06,few clouds,-9.8,-139.0333,
62,la ronge,CA,66.45,broken clouds,55.1001,-105.2842,
65,yellowknife,CA,72.12,few clouds,62.456,-114.3525,
66,la libertad,EC,69.08,overcast clouds,-2.2333,-80.9,
67,carlsbad,US,69.89,overcast clouds,33.1581,-117.3506,
68,rosetta,EG,74.05,clear sky,31.4044,30.4164,
69,arrifes,PT,67.23,broken clouds,37.7667,-25.7,
70,igarapava,BR,70.72,few clouds,-20.0383,-47.7469,
71,watertown,US,69.82,overcast clouds,42.3709,-71.1828,
76,charlestown,AU,62.11,clear sky,-32.95,151.6667,
77,labytnangi,RU,67.95,scattered clouds,66.6572,66.4183,
79,saint george,US,95.59,clear sky,37.1041,-113.5841,
80,isangel,VU,84.31,scattered clouds,-19.55,169.2667,
81,grand gaube,MU,71.38,few clouds,-20.0064,57.6608,
83,hasaki,JP,64.29,overcast clouds,35.7333,140.8333,
84,chase,CA,70.32,overcast clouds,50.8165,-119.6857,
87,butaritari,KI,81.81,light rain,3.0707,172.7902,
88,bredasdorp,ZA,60.96,clear sky,-34.5322,20.0403,
92,ketchikan,US,63.07,clear sky,55.3422,-131.6461,
93,luwuk,ID,85.19,broken clouds,-0.9516,122.7875,
94,ahipara,NZ,61.05,overcast clouds,-35.1667,173.1667,
96,albany,US,64.81,overcast clouds,42.6001,-73.9662,
98,hambantota,LK,84.54,few clouds,6.1241,81.1185,
99,airai,TL,73.26,broken clouds,-8.9266,125.4092,
100,kisangani,CD,69.12,overcast clouds,0.5167,25.2,
101,faya,SA,64.51,broken clouds,18.3851,42.4509,
103,beyneu,KZ,76.78,clear sky,45.3167,55.2,
104,faanui,PF,80.62,overcast clouds,-16.4833,-151.75,
105,batagay-alyta,RU,72.79,overcast clouds,67.8006,130.4114,
107,yumen,CN,74.71,broken clouds,40.2833,97.2,
109,broome,US,67.19,broken clouds,42.2506,-75.833,
110,hirara,JP,77.27,broken clouds,24.8,125.2833,
111,quatre cocos,MU,71.1,scattered clouds,-20.2078,57.7625,
114,ushtobe,KZ,82.81,clear sky,45.2514,77.9838,
115,konispol,AL,70.75,scattered clouds,39.6589,20.1814,
119,rizhao,CN,73.33,clear sky,35.4275,119.4553,
120,benguela,AO,70.99,clear sky,-12.5763,13.4055,
122,aswan,EG,84.31,clear sky,24.0934,32.907,
123,hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,
125,shingu,JP,69.22,broken clouds,33.7333,135.9833,
126,cidreira,BR,61.74,clear sky,-30.1811,-50.2056,
127,port alfred,ZA,62.35,clear sky,-33.5906,26.891,
131,guerrero negro,MX,63.01,broken clouds,27.9769,-114.0611,
132,moses lake,US,74.08,clear sky,47.1301,-119.2781,
137,sao filipe,CV,73.29,clear sky,14.8961,-24.4956,
140,richmond,US,78.78,overcast clouds,37.5538,-77.4603,
142,dandong,CN,73.29,broken clouds,40.1292,124.3947,
144,sitka,US,64.29,broken clouds,57.0531,-135.33,
145,beloha,MG,61.66,few clouds,-25.1667,45.05,
146,georgetown,MY,87.73,few clouds,5.4112,100.3354,
147,sompeta,IN,95.88,scattered clouds,18.9333,84.6,
148,lagos,NG,80.92,overcast clouds,6.5833,3.75,
149,port-gentil,GA,75.74,light rain,-0.7193,8.7815,
150,esperance,AU,60.53,broken clouds,-33.8667,121.9,
153,niquelandia,BR,65.12,clear sky,-14.4739,-48.4597,
154,hamilton,US,71.01,mist,39.1834,-84.5333,
155,lodja,CD,66.2,broken clouds,-3.4833,23.4333,
156,eureka,US,60.21,overcast clouds,40.8021,-124.1637,
157,sechura,PE,65.52,overcast clouds,-5.5569,-80.8222,
159,french harbor,HN,84.2,broken clouds,16.35,-86.4333,
161,east millcreek,US,66.34,clear sky,40.7,-111.8105,
163,japura,ID,85.59,broken clouds,-0.3167,102.35,
164,namibe,AO,72.45,clear sky,-15.1961,12.1522,
165,mae sai,TH,75.61,overcast clouds,20.4335,99.8762,
166,puerto narino,CO,71.04,overcast clouds,-3.7703,-70.3831,
167,buarcos,PT,66.67,overcast clouds,40.166,-8.8768,
168,mollendo,PE,62.28,overcast clouds,-17.0231,-72.0147,
170,flinders,AU,61.18,clear sky,-34.5833,150.8552,
171,puerto tejada,CO,71.55,overcast clouds,3.2311,-76.4167,
172,bloomfield,US,68.61,light rain,40.8068,-74.1854,
175,bethel,US,66.45,overcast clouds,41.3712,-73.414,
176,kuryk,KZ,73.62,few clouds,43.2,51.65,
178,touros,BR,74.03,overcast clouds,-5.1989,-35.4608,
179,saint-philippe,RE,67.59,light rain,-21.3585,55.7679,
183,yarada,IN,88.12,mist,17.65,83.2667,
184,leshan,CN,76.91,overcast clouds,29.5623,103.7639,
185,kashan,IR,88.3,clear sky,33.9831,51.4364,
186,kumano,JP,72.77,scattered clouds,34.3442,132.5894,
187,najran,SA,68.65,overcast clouds,17.4924,44.1277,
188,aykhal,RU,66.29,overcast clouds,66.0,111.5,
189,castlegar,CA,65.08,overcast clouds,49.2998,-117.6689,
190,saint-leu,RE,67.32,clear sky,-21.15,55.2833,
191,avera,US,76.55,overcast clouds,33.194,-82.5271,
192,cape town,ZA,67.37,clear sky,-33.9258,18.4232,
193,conceicao do araguaia,BR,74.23,broken clouds,-8.2578,-49.2647,
194,las vegas,US,99.84,broken clouds,36.175,-115.1372,
195,kabanjahe,ID,73.56,overcast clouds,3.1001,98.4908,
196,kununurra,AU,85.98,clear sky,-15.7667,128.7333,
197,hualmay,PE,63.41,clear sky,-11.0964,-77.6139,
198,san javier,ES,71.67,clear sky,37.8063,-0.8374,
199,kpandae,GH,74.39,overcast clouds,8.4689,-0.0113,
200,atambua,ID,85.08,scattered clouds,-9.1061,124.8925,
201,fallon,US,80.47,broken clouds,39.4735,-118.7774,
202,inirida,CO,73.0,overcast clouds,3.8653,-67.9239,
203,coahuayana,MX,76.84,broken clouds,18.7333,-103.6833,
205,kavaratti,IN,82.83,overcast clouds,10.5669,72.642,
206,ponta do sol,PT,69.71,clear sky,32.6667,-17.1,
207,spornoye,RU,61.25,clear sky,50.8448,37.2913,
208,eyl,SO,83.35,overcast clouds,7.9803,49.8164,
210,cabo san lucas,MX,79.9,clear sky,22.8909,-109.9124,
211,roma,US,67.73,mist,43.2128,-75.4557,
212,waingapu,ID,86.99,few clouds,-9.6567,120.2641,
214,bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,
216,bambous virieux,MU,71.22,scattered clouds,-20.3428,57.7575,
219,tra vinh,VN,89.2,overcast clouds,9.9347,106.3453,
220,caiaponia,BR,69.04,scattered clouds,-16.9567,-51.8103,
221,victoria,HK,79.25,very heavy rain,22.2855,114.1577,
