City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,bluff,NZ,2022-06-08 03:29:37,-46.6,168.3333,50.81,71,64,4.79,broken clouds,0.0,0
1,tasiilaq,GL,2022-06-08 03:29:38,65.6145,-37.6368,39.36,61,82,3.2,broken clouds,0.0,0
2,punta arenas,CL,2022-06-08 03:25:27,-53.15,-70.9167,42.91,65,75,11.5,broken clouds,0.0,0
3,auki,SB,2022-06-08 03:29:40,-8.7676,160.7034,84.96,66,88,2.55,moderate rain,0.0,0
4,korla,CN,2022-06-08 03:29:40,41.7597,86.1469,81.21,19,0,9.28,clear sky,0.0,0
5,padang,ID,2022-06-08 03:29:40,-0.9492,100.3543,82.45,69,73,3.71,broken clouds,0.0,0
6,sao joao da barra,BR,2022-06-08 03:29:23,-21.6403,-41.0511,67.37,84,72,9.71,broken clouds,0.0,0
7,poum,NC,2022-06-08 03:29:42,-20.2333,164.0167,78.19,77,99,16.04,overcast clouds,0.0,0
8,praia da vitoria,PT,2022-06-08 03:29:42,38.7333,-27.0667,66.45,88,20,7.9,few clouds,0.0,0
9,luderitz,NA,2022-06-08 03:29:43,-26.6481,15.1594,65.89,34,0,10.29,clear sky,0.0,0
10,batemans bay,AU,2022-06-08 03:29:43,-35.7167,150.1833,57.09,37,16,11.7,few clouds,0.0,0
11,vaini,TO,2022-06-08 03:29:44,-21.2,-175.2,77.16,73,40,10.36,scattered clouds,0.0,0
12,san francisco,US,2022-06-08 03:25:03,37.7749,-122.4194,70.11,73,40,27.0,scattered clouds,0.0,0
13,saint-denis,FR,2022-06-08 03:29:44,48.9167,2.3333,60.96,89,100,9.22,light rain,0.0,0
14,codrington,AU,2022-06-08 03:29:44,-38.2667,141.9667,51.84,73,100,15.14,overcast clouds,0.0,0
15,tiksi,RU,2022-06-08 03:29:45,71.6872,128.8694,40.73,78,44,5.55,scattered clouds,0.0,0
16,haljala,EE,2022-06-08 03:29:45,59.4336,26.2614,55.18,81,100,8.93,overcast clouds,0.0,0
17,iqaluit,CA,2022-06-08 03:29:45,63.7506,-68.5145,40.73,75,40,8.05,scattered clouds,0.0,0
18,bengkulu,ID,2022-06-08 03:29:45,-3.8004,102.2655,82.11,70,78,3.04,broken clouds,0.0,0
19,ribeira grande,PT,2022-06-08 03:29:46,38.5167,-28.7,65.37,93,52,12.53,broken clouds,0.0,0
